,Name,Position,Age,Nationalities,Club,Market_value_(m€)
0,Erling Haaland,Centre-Forward,24,Norway,Manchester City,200.0
1,Vinicius Junior,Left Winger,24,"Brazil, Spain",Real Madrid,200.0
2,Jude Bellingham,Attacking Midfield,21,"England, Ireland",Real Madrid,180.0
3,Kylian Mbappé,Centre-Forward,25,"France, Cameroon",Real Madrid,180.0
4,Lamine Yamal,Right Winger,17,"Spain, Equatorial Guinea",FC Barcelona,150.0
5,Phil Foden,Right Winger,24,England,Manchester City,150.0
6,Bukayo Saka,Right Winger,23,"England, Nigeria",Arsenal FC,140.0
7,Florian Wirtz,Attacking Midfield,21,Germany,Bayer 04 Leverkusen,130.0
8,Jamal Musiala,Attacking Midfield,21,"Germany, England",Bayern Munich,130.0
9,Federico Valverde,Central Midfield,26,"Uruguay, Spain",Real Madrid,130.0
10,Rodri,Defensive Midfield,28,Spain,Manchester City,130.0
11,Declan Rice,Defensive Midfield,25,"England, Ireland",Arsenal FC,120.0
12,Rodrygo,Right Winger,23,"Brazil, Spain",Real Madrid,110.0
13,Lautaro Martínez,Centre-Forward,27,Argentina,Inter Milan,110.0
14,Martin Ødegaard,Attacking Midfield,25,Norway,Arsenal FC,110.0
15,Eduardo Camavinga,Central Midfield,22,"France, Congo",Real Madrid,100.0
16,Aurélien Tchouaméni,Defensive Midfield,24,"France, Cameroon",Real Madrid,100.0
17,Harry Kane,Centre-Forward,31,England,Bayern Munich,100.0
18,Gavi,Central Midfield,20,Spain,FC Barcelona,90.0
19,Cole Palmer,Attacking Midfield,22,England,Chelsea FC,90.0
20,Bruno Guimarães,Defensive Midfield,27,"Brazil, Spain",Newcastle United,85.0
21,Pedri,Central Midfield,22,Spain,FC Barcelona,80.0
22,Xavi Simons,Attacking Midfield,21,"Netherlands, Suriname",RB Leipzig,80.0
23,Khvicha Kvaratskhelia,Left Winger,23,Georgia,SSC Napoli,80.0
24,William Saliba,Centre-Back,23,"France, Cameroon",Arsenal FC,80.0
25,Luis Díaz,Left Winger,27,Colombia,Liverpool FC,80.0
26,Rúben Dias,Centre-Back,27,Portugal,Manchester City,80.0
27,Nicolò Barella,Central Midfield,27,Italy,Inter Milan,80.0
28,Moisés Caicedo,Defensive Midfield,23,Ecuador,Chelsea FC,75.0
29,Enzo Fernández,Central Midfield,23,Argentina,Chelsea FC,75.0
30,Julián Alvarez,Centre-Forward,24,"Argentina, Italy",Atlético de Madrid,75.0
31,Alexis Mac Allister,Central Midfield,25,"Argentina, Italy",Liverpool FC,75.0
32,Josko Gvardiol,Left-Back,22,Croatia,Manchester City,75.0
33,Dominik Szoboszlai,Attacking Midfield,24,Hungary,Liverpool FC,75.0
34,Gabriel Magalhães,Centre-Back,26,Brazil,Arsenal FC,75.0
35,Victor Osimhen,Centre-Forward,25,Nigeria,Galatasaray,75.0
36,Rafael Leão,Left Winger,25,"Portugal, Angola",AC Milan,75.0
37,Alexander Isak,Centre-Forward,25,"Sweden, Eritrea",Newcastle United,75.0
38,Kai Havertz,Centre-Forward,25,Germany,Arsenal FC,75.0
39,Nico Williams,Left Winger,22,"Spain, Ghana",Athletic Bilbao,70.0
40,Ronald Araujo,Centre-Back,25,"Uruguay, Spain",FC Barcelona,70.0
41,Viktor Gyökeres,Centre-Forward,26,"Sweden, Hungary",Sporting CP,70.0
42,Alessandro Bastoni,Centre-Back,25,Italy,Inter Milan,70.0
43,Trent Alexander-Arnold,Right-Back,26,England,Liverpool FC,70.0
44,James Maddison,Attacking Midfield,28,England,Tottenham Hotspur,70.0
45,Bernardo Silva,Attacking Midfield,30,Portugal,Manchester City,70.0
46,Bradley Barcola,Left Winger,22,"France, Togo",Paris Saint-Germain,65.0
47,Rasmus Højlund,Centre-Forward,21,Denmark,Manchester United,65.0
48,Michael Olise,Right Winger,22,"France, England",Bayern Munich,65.0
49,Darwin Núñez,Centre-Forward,25,Uruguay,Liverpool FC,65.0
50,Jérémy Doku,Left Winger,22,"Belgium, Ghana",Manchester City,65.0
51,Dušan Vlahović,Centre-Forward,24,Serbia,Juventus FC,65.0
52,Cristian Romero,Centre-Back,26,Argentina,Tottenham Hotspur,65.0
53,Christopher Nkunku,Attacking Midfield,27,"France, DR Congo",Chelsea FC,65.0
54,Ollie Watkins,Centre-Forward,28,England,Aston Villa,65.0
55,Marcus Thuram,Centre-Forward,27,"France, Guadeloupe",Inter Milan,65.0
56,Bruno Fernandes,Attacking Midfield,30,Portugal,Manchester United,65.0
57,Endrick,Centre-Forward,18,Brazil,Real Madrid,60.0
58,Warren Zaïre-Emery,Central Midfield,18,"France, Martinique",Paris Saint-Germain,60.0
